Timestep,Episode,Reward,Exploration
0,0,-1,None
1,0,0.5,None
2,0,0.5,None
3,0,-1,None
4,1,1,None
5,1,0.5,None
6,2,1,None
7,2,0.5,None
8,2,-1,None
9,2,0.5,None
10,2,0.5,None
11,3,-1,None
12,3,-1,None
13,3,-1,None
14,3,0.5,None
15,3,0.5,None
16,4,0.5,None
17,4,0.5,None
18,4,0.5,None
19,4,0.5,None
20,4,-1,None
21,5,0.5,None
22,5,-1,None
23,5,0.5,None
24,5,0.5,None
25,5,0.5,None
26,6,0.5,None
27,6,0.5,None
28,6,0.5,None
29,6,0.5,None
30,6,0.5,None
31,7,0.5,None
32,7,0.5,None
33,7,0.5,None
34,7,-1,None
35,7,-1,None
36,8,0.5,None
37,8,0.5,None
38,8,0.5,None
39,8,0.5,None
40,8,0.5,None
41,9,0.5,None
42,9,0.5,None
43,9,-1,None
44,9,0.5,None
45,9,0.5,None
46,10,0.5,None
47,10,0.5,None
48,10,0.5,None
49,10,-1,None
50,10,0.5,None
51,11,0.5,None
52,11,0.5,None
53,11,0.5,None
54,11,0.5,None
55,11,0.5,None
56,12,0.5,None
57,12,-1,None
58,12,0.5,None
59,12,0.5,None
60,12,0.5,None
61,13,0.5,None
62,13,0.5,None
63,13,0.5,None
64,13,0.5,None
65,13,0.5,None
66,14,0.5,None
67,14,-1,None
68,14,0.5,None
69,14,0.5,None
70,14,0.5,None
71,15,0.5,None
72,15,-1,None
73,15,0.5,None
74,15,0.5,None
75,15,-1,None
76,16,0.5,None
77,16,0.5,None
78,16,-1,None
79,16,0.5,None
80,16,0.5,None
81,17,-1,None
82,17,0.5,None
83,17,-1,None
84,17,0.5,None
85,17,0.5,None
86,18,-1,None
87,18,0.5,None
88,18,0.5,None
89,18,-1,None
90,18,-1,None
91,19,-1,None
92,19,-1,None
93,19,0.5,None
94,19,-1,None
95,19,0.5,None
96,20,0.5,None
97,20,0.5,None
98,20,0.5,None
99,20,0.5,None
100,20,0.5,None
101,21,-1,None
102,21,0.5,None
103,21,0.5,None
104,21,0.5,None
105,21,0.5,None
106,22,-1,None
107,22,0.5,None
108,22,0.5,None
109,22,0.5,None
110,22,0.5,None
111,23,-1,None
112,23,0.5,None
113,24,1,None
114,24,-1,None
115,24,0.5,None
116,24,0.5,None
117,24,-1,None
118,25,-1,None
119,25,0.5,None
120,25,0.5,None
121,25,0.5,None
122,25,0.5,None
123,26,0.5,None
124,26,-1,None
125,26,0.5,None
126,27,1,None
127,27,0.5,None
128,27,0.5,None
129,27,0.5,None
130,27,0.5,None
131,28,0.5,None
132,28,0.5,None
133,28,0.5,None
134,28,-1,None
135,28,-1,None
136,29,-1,None
137,29,-1,None
138,29,-1,None
139,29,-1,None
140,29,0.5,None
141,30,1,None
142,30,0.5,None
143,30,0.5,None
144,30,-1,None
145,31,1,None
146,31,0.5,None
147,32,1,None
148,32,0.5,None
149,32,-1,None
150,33,1,None
151,33,0.5,None
152,33,0.5,None
153,33,0.5,None
154,33,0.5,None
155,34,0.5,None
156,34,0.5,None
157,34,-1,None
158,34,0.5,None
159,34,-1,None
160,35,0.5,None
161,35,0.5,None
162,35,-1,None
163,35,-1,None
164,35,0.5,None
165,36,0.5,None
166,36,0.5,None
167,36,0.5,None
168,36,0.5,None
169,36,-1,None
170,37,0.5,None
171,37,0.5,None
172,37,-1,None
173,37,0.5,None
174,37,0.5,None
175,38,0.5,None
176,38,0.5,None
177,38,0.5,None
178,38,0.5,None
179,39,1,None
180,39,0.5,None
181,39,0.5,None
182,39,0.5,None
183,39,0.5,None
184,40,0.5,None
185,40,0.5,None
186,40,0.5,None
187,40,-1,None
188,40,0.5,None
189,41,0.5,None
190,42,1,None
191,42,0.5,None
192,43,1,None
193,43,0.5,None
194,43,0.5,None
195,43,0.5,None
196,43,-1,None
197,44,-1,None
198,44,0.5,None
199,44,-1,None
200,44,-1,None
201,44,0.5,None
202,45,-1,None
203,45,0.5,None
204,45,0.5,None
205,45,0.5,None
206,45,0.5,None
207,46,0.5,None
208,46,0.5,None
209,46,0.5,None
210,46,0.5,None
211,46,-1,None
212,47,-1,None
213,47,0.5,None
214,47,-1,None
215,47,-1,None
216,47,0.5,None
217,48,0.5,None
218,48,0.5,None
219,48,0.5,None
220,48,-1,None
221,48,0.5,None
222,49,0.5,None
223,49,0.5,None
224,49,0.5,None
225,49,0.5,None
226,49,0.5,None
227,50,0.5,None
228,50,0.5,None
229,50,0.5,None
230,50,-1,None
231,50,0.5,None
232,51,-1,None
233,52,1,None
234,52,0.5,None
235,53,1,None
236,53,0.5,None
237,53,0.5,None
238,53,-1,None
239,53,-1,None
240,54,1,None
241,54,-1,None
242,54,0.5,None
243,54,-1,None
244,54,0.5,None
245,55,0.5,None
246,55,0.5,None
247,55,0.5,None
248,55,0.5,None
249,55,0.5,None
250,56,-1,None
251,56,0.5,None
252,56,-1,None
253,56,-1,None
254,56,0.5,None
255,57,0.5,None
256,57,0.5,None
257,57,0.5,None
258,57,0.5,None
259,57,-1,None
260,58,-1,None
261,58,0.5,None
262,58,0.5,None
263,58,0.5,None
264,58,-1,None
265,59,1,None
266,59,0.5,None
267,59,-1,None
268,59,0.5,None
269,59,0.5,None
270,60,0.5,None
271,60,0.5,None
272,60,-1,None
273,60,0.5,None
274,60,-1,None
275,61,0.5,None
276,61,0.5,None
277,61,-1,None
278,61,-1,None
279,61,0.5,None
280,62,0.5,None
281,62,0.5,None
282,63,1,None
283,63,0.5,None
284,63,0.5,None
285,63,0.5,None
286,63,-1,None
287,64,-1,None
288,64,-1,None
289,64,-1,None
290,64,-1,None
291,64,0.5,None
292,65,1,None
293,65,0.5,None
294,65,0.5,None
295,65,0.5,None
296,65,0.5,None
297,66,0.5,None
298,66,0.5,None
299,66,0.5,None
300,66,0.5,None
301,66,-1,None
302,67,0.5,None
303,67,0.5,None
304,67,0.5,None
305,68,1,None
306,68,-1,None
307,68,0.5,None
308,68,0.5,None
309,68,-1,None
310,69,0.5,None
311,69,0.5,None
312,69,-1,None
313,69,0.5,None
314,69,0.5,None
315,70,-1,None
316,71,1,None
317,71,0.5,None
318,71,0.5,None
319,71,-1,None
320,71,0.5,None
321,72,0.5,None
322,72,-1,None
323,72,-1,None
324,72,-1,None
325,72,0.5,None
326,73,-1,None
327,73,0.5,None
328,73,0.5,None
329,73,0.5,None
330,73,0.5,None
331,74,0.5,None
332,74,0.5,None
333,74,0.5,None
334,74,-1,None
335,74,0.5,None
336,75,1,None
337,75,0.5,None
338,75,0.5,None
339,75,-1,None
340,75,0.5,None
341,76,0.5,None
342,77,1,None
343,77,0.5,None
344,77,0.5,None
345,77,-1,None
346,77,-1,None
347,78,0.5,None
348,78,0.5,None
349,78,0.5,None
350,78,-1,None
351,78,0.5,None
352,79,-1,None
353,79,0.5,None
354,79,0.5,None
355,79,-1,None
356,79,-1,None
357,80,0.5,None
358,80,0.5,None
359,80,0.5,None
360,80,0.5,None
361,80,0.5,None
362,81,0.5,None
363,81,-1,None
364,81,0.5,None
365,81,0.5,None
366,81,-1,None
367,82,0.5,None
368,82,-1,None
369,82,0.5,None
370,82,0.5,None
371,83,1,None
372,83,-1,None
373,83,0.5,None
374,83,0.5,None
375,83,0.5,None
376,84,-1,None
377,84,0.5,None
378,84,-1,None
379,84,0.5,None
380,84,0.5,None
381,85,0.5,None
382,85,0.5,None
383,85,-1,None
384,85,-1,None
385,85,0.5,None
386,86,0.5,None
387,86,-1,None
388,86,0.5,None
389,86,0.5,None
390,86,0.5,None
391,87,0.5,None
392,87,0.5,None
393,87,0.5,None
394,87,0.5,None
395,88,1,None
396,88,-1,None
397,88,0.5,None
398,88,0.5,None
399,88,0.5,None
400,89,0.5,None
401,89,0.5,None
402,89,0.5,None
403,89,0.5,None
404,89,0.5,None
405,90,0.5,None
406,90,0.5,None
407,90,0.5,None
408,90,0.5,None
409,90,0.5,None
410,91,-1,None
411,91,-1,None
412,91,-1,None
413,91,0.5,None
414,91,0.5,None
415,92,0.5,None
416,92,0.5,None
417,92,-1,None
418,92,0.5,None
419,92,0.5,None
420,93,0.5,None
421,93,0.5,None
422,93,-1,None
423,93,0.5,None
424,93,0.5,None
425,94,1,None
426,94,-1,None
427,94,-1,None
428,94,0.5,None
429,94,0.5,None
430,95,0.5,None
431,96,1,None
432,96,-1,None
433,96,-1,None
434,96,0.5,None
435,96,0.5,None
436,97,0.5,None
437,97,0.5,None
438,97,0.5,None
439,97,0.5,None
440,97,0.5,None
441,98,0.5,None
442,98,0.5,None
443,98,0.5,None
444,98,0.5,None
445,98,0.5,None
446,99,-1,None
447,99,-1,None
448,99,0.5,None
449,99,0.5,None
450,99,0.5,None
451,100,0.5,None
452,100,0.5,None
453,100,0.5,None
454,100,0.5,None
455,100,0.5,None
456,101,0.5,None
457,101,-1,None
458,101,0.5,None
459,101,0.5,None
460,101,-1,None
461,102,0.5,None
462,102,0.5,None
463,102,-1,None
464,102,0.5,None
465,102,0.5,None
466,103,0.5,None
467,103,0.5,None
468,103,-1,None
469,103,-1,None
470,103,0.5,None
471,104,-1,None
472,104,0.5,None
473,104,0.5,None
474,104,0.5,None
475,104,-1,None
476,105,0.5,None
477,105,0.5,None
478,105,0.5,None
479,105,0.5,None
480,105,0.5,None
481,106,-1,None
482,106,0.5,None
483,106,-1,None
484,106,0.5,None
485,106,0.5,None
486,107,0.5,None
487,108,1,None
488,108,0.5,None
489,108,0.5,None
490,108,0.5,None
491,108,0.5,None
492,109,0.5,None
493,109,-1,None
494,109,-1,None
495,109,0.5,None
496,110,1,None
497,110,-1,None
498,110,0.5,None
499,110,-1,None
500,110,0.5,None
501,111,-1,None
502,111,0.5,None
503,112,1,None
504,112,-1,None
505,112,0.5,None
506,112,0.5,None
507,112,0.5,None
508,113,0.5,None
509,113,0.5,None
510,113,0.5,None
511,113,0.5,None
512,113,-1,None
513,114,0.5,None
514,114,0.5,None
515,114,0.5,None
516,114,0.5,None
517,114,0.5,None
518,115,0.5,None
519,115,-1,None
520,115,-1,None
521,115,-1,None
522,115,0.5,None
523,116,0.5,None
524,116,0.5,None
525,116,-1,None
526,116,0.5,None
527,116,0.5,None
528,117,0.5,None
529,117,-1,None
530,117,0.5,None
531,117,0.5,None
532,118,1,None
533,118,0.5,None
534,118,0.5,None
535,118,0.5,None
536,118,0.5,None
537,119,-1,None
538,119,0.5,None
539,120,1,None
540,120,0.5,None
541,120,0.5,None
542,120,-1,None
543,120,0.5,None
544,121,0.5,None
545,122,1,None
546,122,0.5,None
547,122,0.5,None
548,123,1,None
549,123,0.5,None
550,123,0.5,None
551,123,0.5,None
552,123,-1,None
553,124,0.5,None
554,124,0.5,None
555,124,0.5,None
556,124,0.5,None
557,124,0.5,None
558,125,-1,None
559,125,0.5,None
560,125,0.5,None
561,125,-1,None
562,125,0.5,None
563,126,0.5,None
564,126,0.5,None
565,126,0.5,None
566,126,0.5,None
567,126,0.5,None
568,127,1,None
569,127,0.5,None
570,128,1,None
571,128,0.5,None
572,128,0.5,None
573,128,-1,None
574,129,1,None
575,129,0.5,None
576,129,0.5,None
577,129,0.5,None
578,129,-1,None
579,130,0.5,None
580,130,0.5,None
581,130,-1,None
582,130,0.5,None
583,130,0.5,None
584,131,0.5,None
585,131,-1,None
586,131,-1,None
587,131,0.5,None
588,131,0.5,None
589,132,0.5,None
590,133,1,None
591,133,-1,None
592,133,0.5,None
593,133,-1,None
594,133,0.5,None
595,134,0.5,None
596,134,-1,None
597,134,0.5,None
598,134,0.5,None
599,134,-1,None
600,135,0.5,None
601,135,0.5,None
602,135,0.5,None
603,135,0.5,None
604,135,0.5,None
605,136,0.5,None
606,136,-1,None
607,136,0.5,None
608,136,0.5,None
609,136,0.5,None
610,137,-1,None
611,137,0.5,None
612,137,0.5,None
613,137,0.5,None
614,137,0.5,None
615,138,-1,None
616,138,0.5,None
617,138,0.5,None
618,138,0.5,None
619,138,0.5,None
620,139,0.5,None
621,139,0.5,None
622,139,0.5,None
623,139,0.5,None
624,139,0.5,None
625,140,0.5,None
626,140,0.5,None
627,141,1,None
628,141,0.5,None
629,141,-1,None
630,141,0.5,None
631,141,0.5,None
632,142,0.5,None
633,142,0.5,None
634,142,-1,None
635,142,0.5,None
636,142,-1,None
637,143,0.5,None
638,143,-1,None
639,144,1,None
640,144,-1,None
641,144,0.5,None
642,144,0.5,None
643,144,0.5,None
644,145,-1,None
645,145,0.5,None
646,145,0.5,None
647,145,-1,None
648,145,0.5,None
649,146,0.5,None
650,146,0.5,None
651,146,0.5,None
652,146,0.5,None
653,146,0.5,None
654,147,0.5,None
655,147,0.5,None
656,147,-1,None
657,147,0.5,None
658,147,0.5,None
659,148,0.5,None
660,148,0.5,None
661,148,-1,None
662,148,0.5,None
663,148,-1,None
664,149,0.5,None
665,149,0.5,None
666,149,0.5,None
667,150,1,None
668,150,0.5,None
669,150,0.5,None
670,150,0.5,None
671,150,-1,None
672,151,0.5,None
673,151,0.5,None
674,151,0.5,None
675,151,0.5,None
676,151,-1,None
677,152,0.5,None
678,152,0.5,None
679,152,-1,None
680,152,-1,None
681,152,0.5,None
682,153,1,None
683,153,0.5,None
684,153,0.5,None
685,153,0.5,None
686,153,-1,None
687,154,0.5,None
688,154,0.5,None
689,154,0.5,None
690,154,0.5,None
691,154,-1,None
692,155,0.5,None
693,155,-1,None
694,155,0.5,None
695,155,0.5,None
696,155,0.5,None
697,156,0.5,None
698,156,0.5,None
699,156,0.5,None
700,156,0.5,None
701,156,0.5,None
702,157,0.5,None
703,157,0.5,None
704,157,0.5,None
705,157,0.5,None
706,157,0.5,None
707,158,0.5,None
708,158,0.5,None
709,158,-1,None
710,158,0.5,None
711,158,0.5,None
712,159,0.5,None
713,159,0.5,None
714,159,0.5,None
715,159,0.5,None
716,159,0.5,None
717,160,0.5,None
718,160,-1,None
719,160,0.5,None
720,161,1,None
721,161,0.5,None
722,161,0.5,None
723,161,0.5,None
724,161,0.5,None
725,162,-1,None
726,162,-1,None
727,162,0.5,None
728,162,0.5,None
729,162,0.5,None
730,163,0.5,None
731,163,0.5,None
732,163,-1,None
