Timestep,Episode,Reward,Exploration
0,0,-1,None
1,0,0.5,None
2,0,-1,None
3,0,-1,None
4,1,0.5,None
5,1,0.5,None
6,1,0.5,None
7,1,0.5,None
8,1,0.5,None
9,2,0.5,None
10,3,1,None
11,3,0.5,None
12,3,0.5,None
13,3,0.5,None
14,3,0.5,None
15,4,0.5,None
16,4,0.5,None
17,4,0.5,None
18,4,-1,None
19,4,0.5,None
20,5,0.5,None
21,5,0.5,None
22,5,0.5,None
23,5,0.5,None
24,5,-1,None
25,6,0.5,None
26,6,-1,None
27,6,0.5,None
28,6,-1,None
29,6,0.5,None
30,7,0.5,None
31,7,0.5,None
32,7,0.5,None
33,7,0.5,None
34,7,-1,None
35,8,0.5,None
36,8,-1,None
37,8,0.5,None
38,9,1,None
39,9,0.5,None
40,9,0.5,None
41,9,-1,None
42,9,0.5,None
43,10,0.5,None
44,10,0.5,None
45,10,0.5,None
46,10,0.5,None
47,10,0.5,None
48,11,-1,None
49,11,-1,None
50,11,0.5,None
51,11,0.5,None
52,11,0.5,None
53,12,0.5,None
54,12,0.5,None
55,12,-1,None
56,12,-1,None
57,12,0.5,None
58,13,0.5,None
59,13,0.5,None
60,13,0.5,None
61,13,0.5,None
62,14,1,None
63,14,-1,None
64,14,-1,None
65,14,0.5,None
66,14,0.5,None
67,15,0.5,None
68,15,0.5,None
69,15,0.5,None
70,15,0.5,None
71,15,0.5,None
72,16,0.5,None
73,16,0.5,None
74,16,0.5,None
75,16,0.5,None
76,16,0.5,None
77,17,-1,None
78,17,0.5,None
79,18,1,None
80,18,0.5,None
81,18,0.5,None
82,18,-1,None
83,18,0.5,None
84,19,0.5,None
85,19,0.5,None
86,19,0.5,None
87,19,0.5,None
88,19,-1,None
89,20,-1,None
90,20,0.5,None
91,20,0.5,None
92,20,0.5,None
93,20,-1,None
94,21,-1,None
95,21,-1,None
96,22,1,None
97,22,0.5,None
98,22,0.5,None
99,23,1,None
100,23,0.5,None
101,23,-1,None
102,23,0.5,None
103,23,0.5,None
104,24,0.5,None
105,24,0.5,None
106,24,0.5,None
107,24,0.5,None
108,24,0.5,None
109,25,0.5,None
110,25,0.5,None
111,25,-1,None
112,25,0.5,None
113,25,-1,None
114,26,0.5,None
115,26,-1,None
116,26,0.5,None
117,26,0.5,None
118,26,0.5,None
119,27,0.5,None
120,27,0.5,None
121,27,0.5,None
122,27,0.5,None
123,27,-1,None
124,28,0.5,None
125,28,0.5,None
126,28,0.5,None
127,28,0.5,None
128,29,1,None
129,29,0.5,None
130,29,-1,None
131,29,-1,None
132,29,0.5,None
133,30,0.5,None
134,30,-1,None
135,30,0.5,None
136,30,0.5,None
137,30,0.5,None
138,31,0.5,None
139,31,0.5,None
140,31,0.5,None
141,31,0.5,None
142,31,0.5,None
143,32,0.5,None
144,32,0.5,None
145,32,0.5,None
146,32,0.5,None
147,32,0.5,None
148,33,0.5,None
149,33,0.5,None
150,33,-1,None
151,33,0.5,None
152,33,-1,None
153,34,0.5,None
154,34,-1,None
155,34,0.5,None
156,34,-1,None
157,34,0.5,None
158,35,0.5,None
159,35,-1,None
160,35,0.5,None
161,35,0.5,None
162,35,0.5,None
163,36,0.5,None
164,36,-1,None
165,36,0.5,None
166,37,1,None
167,37,-1,None
168,37,0.5,None
169,37,0.5,None
170,37,0.5,None
171,38,-1,None
172,38,-1,None
173,38,0.5,None
174,38,0.5,None
175,38,0.5,None
176,39,0.5,None
177,39,0.5,None
178,39,0.5,None
179,39,-1,None
180,39,0.5,None
181,40,0.5,None
182,40,0.5,None
183,40,0.5,None
184,40,-1,None
185,40,0.5,None
186,41,-1,None
187,41,0.5,None
188,41,0.5,None
189,41,0.5,None
190,41,0.5,None
191,42,0.5,None
192,42,0.5,None
193,42,-1,None
194,42,0.5,None
195,42,0.5,None
196,43,-1,None
197,43,0.5,None
198,43,0.5,None
199,43,-1,None
200,43,0.5,None
201,44,-1,None
202,44,0.5,None
203,44,0.5,None
204,44,0.5,None
205,44,0.5,None
206,45,0.5,None
207,45,0.5,None
208,45,-1,None
209,45,0.5,None
210,45,0.5,None
211,46,0.5,None
212,46,0.5,None
213,46,0.5,None
214,46,0.5,None
215,46,0.5,None
216,47,-1,None
217,47,0.5,None
218,47,0.5,None
219,47,-1,None
220,47,-1,None
221,48,0.5,None
222,48,0.5,None
223,48,0.5,None
224,48,0.5,None
225,48,0.5,None
226,49,1,None
227,49,0.5,None
228,49,0.5,None
229,49,-1,None
230,49,0.5,None
231,50,0.5,None
232,50,0.5,None
233,50,0.5,None
234,50,0.5,None
235,50,-1,None
236,51,-1,None
237,51,0.5,None
238,51,0.5,None
239,51,0.5,None
240,51,0.5,None
241,52,0.5,None
242,52,0.5,None
243,52,-1,None
244,52,0.5,None
245,52,0.5,None
246,53,0.5,None
247,53,0.5,None
248,53,0.5,None
249,53,0.5,None
250,53,0.5,None
251,54,0.5,None
252,54,0.5,None
253,54,0.5,None
254,54,0.5,None
255,54,0.5,None
256,55,-1,None
257,55,0.5,None
258,55,0.5,None
259,55,0.5,None
260,55,0.5,None
261,56,0.5,None
262,56,0.5,None
263,56,0.5,None
264,56,-1,None
265,56,0.5,None
266,57,0.5,None
267,57,-1,None
268,57,0.5,None
269,57,0.5,None
270,57,0.5,None
271,58,0.5,None
272,58,0.5,None
273,58,0.5,None
274,58,0.5,None
275,58,0.5,None
276,59,0.5,None
277,59,-1,None
278,59,-1,None
279,59,0.5,None
280,59,0.5,None
281,60,0.5,None
282,60,0.5,None
283,60,0.5,None
284,60,0.5,None
285,60,0.5,None
286,61,0.5,None
287,62,1,None
288,62,-1,None
289,62,-1,None
290,63,1,None
291,63,0.5,None
292,63,0.5,None
293,63,0.5,None
294,63,0.5,None
295,64,0.5,None
296,64,0.5,None
297,64,-1,None
298,64,0.5,None
299,65,1,None
300,65,0.5,None
301,65,0.5,None
302,65,0.5,None
303,65,0.5,None
304,66,-1,None
305,66,0.5,None
306,66,0.5,None
307,66,0.5,None
308,66,-1,None
309,67,0.5,None
310,67,0.5,None
311,67,0.5,None
312,67,0.5,None
313,67,0.5,None
314,68,0.5,None
315,69,1,None
316,69,-1,None
317,69,0.5,None
318,69,0.5,None
319,69,0.5,None
320,70,0.5,None
321,70,0.5,None
322,70,-1,None
323,70,-1,None
324,71,1,None
325,71,0.5,None
326,71,-1,None
327,71,0.5,None
328,71,0.5,None
329,72,0.5,None
330,72,0.5,None
331,72,0.5,None
332,72,0.5,None
333,72,0.5,None
334,73,-1,None
335,73,0.5,None
336,73,0.5,None
337,73,0.5,None
338,73,-1,None
339,74,0.5,None
340,74,0.5,None
341,74,0.5,None
342,74,0.5,None
343,74,0.5,None
344,75,-1,None
345,75,0.5,None
346,75,0.5,None
347,75,0.5,None
348,75,0.5,None
349,76,0.5,None
350,76,0.5,None
351,76,0.5,None
352,76,-1,None
353,76,0.5,None
354,77,0.5,None
355,77,0.5,None
356,77,0.5,None
357,77,0.5,None
358,77,0.5,None
359,78,0.5,None
360,78,0.5,None
361,78,0.5,None
362,78,-1,None
363,78,-1,None
364,79,0.5,None
365,79,0.5,None
366,79,0.5,None
367,79,0.5,None
368,79,-1,None
369,80,-1,None
370,80,0.5,None
371,80,0.5,None
372,80,-1,None
373,80,0.5,None
374,81,0.5,None
375,81,0.5,None
376,81,0.5,None
377,81,0.5,None
378,81,0.5,None
379,82,0.5,None
380,83,1,None
381,83,0.5,None
382,83,-1,None
383,83,0.5,None
384,83,0.5,None
385,84,-1,None
386,84,0.5,None
387,84,0.5,None
388,84,0.5,None
389,84,0.5,None
390,85,0.5,None
391,85,0.5,None
392,85,0.5,None
393,85,0.5,None
394,85,0.5,None
395,86,0.5,None
396,86,0.5,None
397,86,0.5,None
398,86,0.5,None
399,86,0.5,None
400,87,0.5,None
401,87,0.5,None
402,87,0.5,None
403,87,-1,None
404,87,0.5,None
405,88,0.5,None
406,88,-1,None
407,88,-1,None
408,88,0.5,None
409,88,-1,None
410,89,-1,None
411,89,0.5,None
412,89,0.5,None
413,89,0.5,None
414,89,0.5,None
415,90,-1,None
416,90,-1,None
417,90,0.5,None
418,90,-1,None
419,90,0.5,None
420,91,0.5,None
421,91,-1,None
422,91,-1,None
423,91,0.5,None
424,91,0.5,None
425,92,-1,None
426,92,-1,None
427,92,0.5,None
428,92,-1,None
429,92,0.5,None
430,93,0.5,None
431,93,-1,None
432,93,0.5,None
433,93,0.5,None
434,93,0.5,None
435,94,0.5,None
436,94,-1,None
437,94,0.5,None
438,94,0.5,None
439,94,0.5,None
440,95,0.5,None
441,95,-1,None
442,95,0.5,None
443,95,0.5,None
444,95,-1,None
445,96,0.5,None
446,96,0.5,None
447,96,0.5,None
448,96,0.5,None
449,96,0.5,None
450,97,0.5,None
451,97,0.5,None
452,97,-1,None
453,97,0.5,None
454,97,-1,None
455,98,-1,None
456,98,0.5,None
457,98,-1,None
458,98,-1,None
459,98,0.5,None
460,99,0.5,None
461,99,0.5,None
462,99,0.5,None
463,99,0.5,None
464,99,0.5,None
465,100,0.5,None
466,100,-1,None
467,100,0.5,None
468,100,0.5,None
469,100,0.5,None
470,101,-1,None
471,101,0.5,None
472,101,0.5,None
473,101,0.5,None
474,101,0.5,None
475,102,-1,None
476,102,0.5,None
477,102,0.5,None
478,102,0.5,None
479,102,0.5,None
480,103,0.5,None
481,103,0.5,None
482,103,0.5,None
483,103,0.5,None
484,103,0.5,None
485,104,0.5,None
486,104,-1,None
487,104,0.5,None
488,104,-1,None
489,104,0.5,None
490,105,0.5,None
491,105,0.5,None
492,105,0.5,None
493,105,0.5,None
494,105,0.5,None
495,106,0.5,None
496,106,0.5,None
497,106,-1,None
498,107,1,None
499,107,0.5,None
500,107,0.5,None
501,107,0.5,None
502,107,0.5,None
503,108,0.5,None
504,108,0.5,None
505,108,0.5,None
506,108,-1,None
507,108,0.5,None
508,109,0.5,None
509,109,0.5,None
510,109,-1,None
511,109,0.5,None
512,110,1,None
513,110,0.5,None
514,111,1,None
515,111,-1,None
516,111,-1,None
517,111,0.5,None
518,111,0.5,None
519,112,0.5,None
520,112,0.5,None
521,112,0.5,None
522,112,-1,None
523,112,0.5,None
524,113,0.5,None
525,113,-1,None
526,113,-1,None
527,113,0.5,None
528,113,0.5,None
529,114,0.5,None
530,114,0.5,None
531,114,-1,None
532,114,0.5,None
533,114,0.5,None
534,115,0.5,None
535,115,0.5,None
536,115,-1,None
537,115,0.5,None
538,115,0.5,None
539,116,0.5,None
540,117,1,None
541,117,0.5,None
542,117,0.5,None
543,117,0.5,None
544,117,0.5,None
545,118,0.5,None
546,118,0.5,None
547,118,0.5,None
548,118,0.5,None
549,118,-1,None
550,119,0.5,None
551,119,0.5,None
552,119,-1,None
553,119,0.5,None
554,119,0.5,None
555,120,0.5,None
556,120,-1,None
557,120,0.5,None
558,120,-1,None
559,120,0.5,None
560,121,-1,None
561,121,0.5,None
562,121,-1,None
563,121,0.5,None
564,121,0.5,None
565,122,-1,None
566,122,0.5,None
567,122,0.5,None
568,122,0.5,None
569,122,0.5,None
570,123,0.5,None
571,123,0.5,None
572,123,0.5,None
573,123,0.5,None
574,123,0.5,None
575,124,0.5,None
576,124,0.5,None
577,124,0.5,None
578,124,0.5,None
579,124,-1,None
580,125,-1,None
581,125,-1,None
582,125,0.5,None
583,125,0.5,None
584,125,0.5,None
585,126,0.5,None
586,126,-1,None
587,126,0.5,None
588,126,0.5,None
589,126,0.5,None
590,127,0.5,None
591,127,0.5,None
592,127,0.5,None
593,127,0.5,None
594,127,-1,None
595,128,0.5,None
596,128,0.5,None
597,128,0.5,None
598,128,0.5,None
599,128,-1,None
600,129,-1,None
601,129,0.5,None
602,129,-1,None
603,130,1,None
604,130,0.5,None
605,130,0.5,None
606,130,0.5,None
607,130,0.5,None
608,131,0.5,None
609,131,0.5,None
610,131,0.5,None
611,131,-1,None
612,131,0.5,None
613,132,0.5,None
614,132,0.5,None
615,132,-1,None
616,132,0.5,None
617,132,-1,None
618,133,0.5,None
619,133,0.5,None
620,133,0.5,None
621,133,0.5,None
622,133,0.5,None
623,134,0.5,None
624,135,1,None
625,135,-1,None
626,135,0.5,None
627,135,-1,None
628,135,0.5,None
629,136,0.5,None
630,136,-1,None
631,136,0.5,None
632,137,1,None
633,137,0.5,None
634,137,-1,None
635,137,0.5,None
636,137,0.5,None
637,138,0.5,None
638,138,0.5,None
639,138,-1,None
640,138,0.5,None
641,138,0.5,None
642,139,0.5,None
643,139,0.5,None
644,139,0.5,None
645,139,0.5,None
646,139,-1,None
647,140,-1,None
648,140,0.5,None
649,140,0.5,None
650,140,0.5,None
651,140,-1,None
652,141,0.5,None
653,141,0.5,None
654,141,-1,None
655,142,1,None
656,142,-1,None
657,142,0.5,None
658,142,0.5,None
659,142,-1,None
660,143,0.5,None
661,143,-1,None
662,143,0.5,None
663,143,0.5,None
664,143,-1,None
665,144,-1,None
666,144,0.5,None
667,144,0.5,None
668,144,-1,None
669,144,-1,None
670,145,-1,None
671,145,-1,None
672,145,-1,None
673,145,0.5,None
674,145,0.5,None
675,146,-1,None
676,146,0.5,None
677,146,0.5,None
678,146,-1,None
679,146,-1,None
680,147,0.5,None
681,147,0.5,None
682,147,-1,None
683,147,0.5,None
684,147,-1,None
685,148,0.5,None
686,148,-1,None
687,148,0.5,None
688,148,-1,None
689,149,1,None
690,149,0.5,None
691,149,0.5,None
692,149,0.5,None
693,149,0.5,None
694,150,0.5,None
695,150,0.5,None
696,150,0.5,None
697,150,-1,None
698,150,-1,None
699,151,0.5,None
700,151,0.5,None
701,151,0.5,None
702,151,-1,None
703,151,0.5,None
704,152,-1,None
705,152,0.5,None
706,152,-1,None
707,152,-1,None
708,152,-1,None
709,153,0.5,None
710,153,0.5,None
711,153,0.5,None
712,153,0.5,None
713,153,0.5,None
714,154,0.5,None
715,154,0.5,None
716,154,0.5,None
717,154,-1,None
718,155,1,None
719,155,0.5,None
720,155,0.5,None
721,155,0.5,None
722,155,-1,None
723,156,-1,None
724,156,0.5,None
725,156,0.5,None
726,156,0.5,None
727,156,-1,None
728,157,-1,None
