Timestep,Episode,Reward,Exploration
0,0,0.5,None
1,0,-1,None
2,0,-1,None
3,0,-1,None
4,1,0.5,None
5,1,0.5,None
6,1,0.5,None
7,1,0.5,None
8,1,-1,None
9,2,0.5,None
10,2,0.5,None
11,2,0.5,None
12,2,0.5,None
13,2,-1,None
14,3,0.5,None
15,3,0.5,None
16,3,0.5,None
17,3,0.5,None
18,3,0.5,None
19,4,0.5,None
20,4,0.5,None
21,4,0.5,None
22,4,0.5,None
23,4,0.5,None
24,5,-1,None
25,5,0.5,None
26,5,0.5,None
27,6,1,None
28,6,-1,None
29,6,-1,None
30,6,0.5,None
31,6,-1,None
32,7,0.5,None
33,7,0.5,None
34,7,0.5,None
35,7,0.5,None
36,7,0.5,None
37,8,0.5,None
38,8,0.5,None
39,8,-1,None
40,8,-1,None
41,8,0.5,None
42,9,0.5,None
43,9,-1,None
44,9,0.5,None
45,9,0.5,None
46,9,0.5,None
47,10,1,None
48,10,-1,None
49,10,0.5,None
50,10,0.5,None
51,10,0.5,None
52,11,-1,None
53,11,0.5,None
54,11,0.5,None
55,11,0.5,None
56,11,0.5,None
57,12,0.5,None
58,12,0.5,None
59,12,0.5,None
60,12,-1,None
61,12,-1,None
62,13,0.5,None
63,13,0.5,None
64,13,0.5,None
65,13,0.5,None
66,13,0.5,None
67,14,0.5,None
68,14,-1,None
69,14,0.5,None
70,14,0.5,None
71,15,1,None
72,15,0.5,None
73,15,0.5,None
74,15,-1,None
75,15,0.5,None
76,16,0.5,None
77,16,-1,None
78,16,0.5,None
79,16,0.5,None
80,16,0.5,None
81,17,0.5,None
82,17,0.5,None
83,17,-1,None
84,17,0.5,None
85,17,0.5,None
86,18,-1,None
87,18,0.5,None
88,18,0.5,None
89,18,0.5,None
90,18,-1,None
91,19,-1,None
92,19,0.5,None
93,19,0.5,None
94,19,0.5,None
95,19,-1,None
96,20,0.5,None
97,21,1,None
98,21,-1,None
99,21,0.5,None
100,21,0.5,None
101,21,0.5,None
102,22,0.5,None
103,22,0.5,None
104,22,0.5,None
105,22,0.5,None
106,22,0.5,None
107,23,1,None
108,23,0.5,None
109,23,0.5,None
110,23,0.5,None
111,23,0.5,None
112,24,0.5,None
113,25,1,None
114,25,-1,None
115,25,-1,None
116,25,-1,None
117,25,0.5,None
118,26,-1,None
119,27,1,None
120,27,0.5,None
121,27,0.5,None
122,27,0.5,None
123,27,0.5,None
124,28,-1,None
125,28,0.5,None
126,28,0.5,None
127,28,0.5,None
128,28,0.5,None
129,29,-1,None
130,29,0.5,None
131,29,0.5,None
132,29,0.5,None
133,29,0.5,None
134,30,0.5,None
135,30,0.5,None
136,30,0.5,None
137,30,-1,None
138,30,0.5,None
139,31,1,None
140,31,0.5,None
141,31,0.5,None
142,32,1,None
143,32,0.5,None
144,32,0.5,None
145,32,-1,None
146,33,1,None
147,33,0.5,None
148,33,-1,None
149,33,-1,None
150,33,-1,None
151,34,-1,None
152,34,0.5,None
153,34,-1,None
154,34,-1,None
155,34,0.5,None
156,35,0.5,None
157,35,0.5,None
158,35,0.5,None
159,35,0.5,None
160,35,0.5,None
161,36,-1,None
162,36,0.5,None
163,36,0.5,None
164,36,0.5,None
165,36,-1,None
166,37,0.5,None
167,37,0.5,None
168,37,0.5,None
169,37,0.5,None
170,37,0.5,None
171,38,0.5,None
172,38,0.5,None
173,38,0.5,None
174,38,0.5,None
175,38,0.5,None
176,39,1,None
177,39,0.5,None
178,39,0.5,None
179,39,0.5,None
180,39,0.5,None
181,40,0.5,None
182,40,0.5,None
183,40,0.5,None
184,41,1,None
185,42,1,None
186,42,0.5,None
187,42,0.5,None
188,42,0.5,None
189,42,0.5,None
190,43,0.5,None
191,43,0.5,None
192,43,0.5,None
193,43,0.5,None
194,43,-1,None
195,44,0.5,None
196,44,0.5,None
197,44,0.5,None
198,44,0.5,None
199,44,-1,None
200,45,0.5,None
201,45,-1,None
202,45,0.5,None
203,45,0.5,None
204,45,0.5,None
205,46,-1,None
206,46,0.5,None
207,46,-1,None
208,46,0.5,None
209,46,0.5,None
210,47,0.5,None
211,47,0.5,None
212,47,-1,None
213,47,-1,None
214,47,0.5,None
215,48,0.5,None
216,48,0.5,None
217,48,0.5,None
218,48,-1,None
219,48,-1,None
220,49,0.5,None
221,49,-1,None
222,49,0.5,None
223,49,-1,None
224,49,-1,None
225,50,0.5,None
226,50,-1,None
227,50,0.5,None
228,50,0.5,None
229,50,0.5,None
230,51,0.5,None
231,51,0.5,None
232,51,0.5,None
233,51,0.5,None
234,51,0.5,None
235,52,0.5,None
236,52,0.5,None
237,52,-1,None
238,52,-1,None
239,52,0.5,None
240,53,0.5,None
241,53,0.5,None
242,53,0.5,None
243,53,0.5,None
244,53,-1,None
245,54,-1,None
246,54,0.5,None
247,55,1,None
248,55,0.5,None
249,55,-1,None
250,55,0.5,None
251,55,-1,None
252,56,-1,None
253,56,-1,None
254,56,0.5,None
255,56,0.5,None
256,56,-1,None
257,57,-1,None
258,57,0.5,None
259,57,-1,None
260,57,0.5,None
261,57,-1,None
262,58,0.5,None
263,58,-1,None
264,58,0.5,None
265,58,0.5,None
266,58,0.5,None
267,59,0.5,None
268,59,-1,None
269,59,0.5,None
270,60,1,None
271,60,0.5,None
272,60,-1,None
273,60,-1,None
274,60,0.5,None
275,61,-1,None
276,61,0.5,None
277,61,-1,None
278,61,0.5,None
279,61,0.5,None
280,62,-1,None
281,62,0.5,None
282,62,-1,None
283,62,0.5,None
284,62,0.5,None
285,63,0.5,None
286,63,0.5,None
287,63,0.5,None
288,63,0.5,None
289,63,0.5,None
290,64,-1,None
291,64,0.5,None
292,64,0.5,None
293,64,0.5,None
294,64,0.5,None
295,65,0.5,None
296,65,0.5,None
297,65,-1,None
298,65,-1,None
299,65,0.5,None
300,66,-1,None
301,66,-1,None
302,67,1,None
303,67,-1,None
304,67,0.5,None
305,67,0.5,None
306,67,0.5,None
307,68,0.5,None
308,68,0.5,None
309,68,0.5,None
310,68,0.5,None
311,68,-1,None
312,69,0.5,None
313,69,0.5,None
314,69,0.5,None
315,69,-1,None
316,69,0.5,None
317,70,-1,None
318,70,-1,None
319,70,0.5,None
320,70,0.5,None
321,70,0.5,None
322,71,0.5,None
323,71,-1,None
324,71,-1,None
325,71,-1,None
326,71,0.5,None
327,72,0.5,None
328,72,0.5,None
329,72,-1,None
330,72,0.5,None
331,72,0.5,None
332,73,-1,None
333,73,0.5,None
334,73,0.5,None
335,73,0.5,None
336,73,0.5,None
337,74,0.5,None
338,74,0.5,None
339,74,0.5,None
340,74,0.5,None
341,74,0.5,None
342,75,0.5,None
343,76,1,None
344,76,-1,None
345,76,0.5,None
346,76,-1,None
347,76,-1,None
348,77,0.5,None
349,77,-1,None
350,77,-1,None
351,77,-1,None
352,77,0.5,None
353,78,0.5,None
354,78,0.5,None
355,78,0.5,None
356,78,-1,None
357,78,0.5,None
358,79,-1,None
359,79,0.5,None
360,79,0.5,None
361,79,0.5,None
362,79,-1,None
363,80,0.5,None
364,80,-1,None
365,80,0.5,None
366,80,0.5,None
367,80,0.5,None
368,81,-1,None
369,81,0.5,None
370,81,0.5,None
371,81,-1,None
372,81,0.5,None
373,82,0.5,None
374,82,0.5,None
375,82,-1,None
376,82,0.5,None
377,82,-1,None
378,83,-1,None
379,83,0.5,None
380,83,0.5,None
381,83,-1,None
382,83,0.5,None
383,84,0.5,None
384,84,0.5,None
385,84,0.5,None
386,84,-1,None
387,84,0.5,None
388,85,0.5,None
389,85,0.5,None
390,85,0.5,None
391,85,0.5,None
392,85,0.5,None
393,86,0.5,None
394,86,0.5,None
395,86,-1,None
396,86,0.5,None
397,86,0.5,None
398,87,0.5,None
399,87,-1,None
400,87,0.5,None
401,87,-1,None
402,87,0.5,None
403,88,1,None
404,88,-1,None
405,88,-1,None
406,88,0.5,None
407,88,-1,None
408,89,0.5,None
409,89,0.5,None
410,89,0.5,None
411,89,0.5,None
412,89,-1,None
413,90,0.5,None
414,90,-1,None
415,90,0.5,None
416,90,-1,None
417,90,0.5,None
418,91,0.5,None
419,91,0.5,None
420,91,0.5,None
421,91,-1,None
422,91,0.5,None
423,92,0.5,None
424,92,0.5,None
425,92,0.5,None
426,92,0.5,None
427,92,-1,None
428,93,0.5,None
429,93,0.5,None
430,93,-1,None
431,93,0.5,None
432,93,-1,None
433,94,0.5,None
434,94,0.5,None
435,94,-1,None
436,94,-1,None
437,94,-1,None
438,95,-1,None
439,96,1,None
440,96,0.5,None
441,96,0.5,None
442,96,0.5,None
443,96,0.5,None
444,97,-1,None
445,97,0.5,None
446,97,0.5,None
447,98,1,None
448,98,-1,None
449,98,-1,None
450,98,0.5,None
451,98,0.5,None
452,99,0.5,None
453,99,0.5,None
454,99,0.5,None
455,99,0.5,None
456,99,0.5,None
457,100,1,None
458,100,0.5,None
459,100,0.5,None
460,100,0.5,None
461,100,0.5,None
462,101,0.5,None
463,101,0.5,None
464,101,-1,None
465,101,0.5,None
466,102,1,None
467,102,0.5,None
468,102,0.5,None
469,103,1,None
470,103,-1,None
471,103,0.5,None
472,103,0.5,None
473,103,0.5,None
474,104,-1,None
475,104,0.5,None
476,104,-1,None
477,105,1,None
478,105,0.5,None
479,105,0.5,None
480,105,0.5,None
481,105,0.5,None
482,106,0.5,None
483,106,0.5,None
484,106,0.5,None
485,106,0.5,None
486,106,0.5,None
487,107,0.5,None
488,107,0.5,None
489,107,0.5,None
490,107,-1,None
491,107,0.5,None
492,108,0.5,None
493,108,0.5,None
494,108,0.5,None
495,108,0.5,None
496,108,0.5,None
497,109,0.5,None
498,109,0.5,None
499,109,-1,None
500,109,0.5,None
501,109,0.5,None
502,110,0.5,None
503,111,1,None
504,112,1,None
505,112,0.5,None
506,112,0.5,None
507,113,1,None
508,113,-1,None
509,113,0.5,None
510,113,0.5,None
511,113,0.5,None
512,114,0.5,None
513,114,-1,None
514,114,0.5,None
515,114,0.5,None
516,114,-1,None
517,115,0.5,None
518,115,0.5,None
519,115,0.5,None
520,115,0.5,None
521,115,0.5,None
522,116,0.5,None
523,116,0.5,None
524,116,0.5,None
525,116,0.5,None
526,116,0.5,None
527,117,0.5,None
528,117,0.5,None
529,117,-1,None
530,117,0.5,None
531,117,0.5,None
532,118,0.5,None
533,118,-1,None
534,119,1,None
535,120,1,None
536,120,0.5,None
537,120,0.5,None
538,120,0.5,None
539,120,0.5,None
540,121,-1,None
541,121,0.5,None
542,121,0.5,None
543,121,0.5,None
544,121,-1,None
545,122,0.5,None
546,122,0.5,None
547,122,-1,None
548,122,0.5,None
549,122,-1,None
550,123,0.5,None
551,123,-1,None
552,123,0.5,None
553,123,0.5,None
554,123,0.5,None
555,124,0.5,None
556,124,0.5,None
557,124,0.5,None
558,124,0.5,None
559,124,0.5,None
560,125,0.5,None
561,125,0.5,None
562,125,-1,None
563,125,-1,None
564,125,0.5,None
565,126,-1,None
566,126,-1,None
567,126,0.5,None
568,126,0.5,None
569,126,-1,None
570,127,0.5,None
571,127,-1,None
572,127,0.5,None
573,128,1,None
574,128,-1,None
575,128,0.5,None
576,128,-1,None
577,128,0.5,None
578,129,-1,None
579,129,-1,None
580,129,0.5,None
581,129,0.5,None
582,129,0.5,None
583,130,0.5,None
584,130,0.5,None
585,130,0.5,None
586,130,-1,None
587,130,0.5,None
588,131,0.5,None
589,131,-1,None
590,131,0.5,None
591,131,0.5,None
592,131,0.5,None
593,132,0.5,None
594,132,0.5,None
595,132,0.5,None
596,132,0.5,None
597,132,0.5,None
598,133,0.5,None
599,133,-1,None
600,133,0.5,None
601,133,-1,None
602,133,0.5,None
603,134,0.5,None
604,134,0.5,None
605,134,0.5,None
606,134,0.5,None
607,134,0.5,None
608,135,-1,None
609,135,-1,None
610,135,0.5,None
611,135,0.5,None
612,135,0.5,None
613,136,0.5,None
614,136,0.5,None
615,136,0.5,None
616,136,0.5,None
617,136,0.5,None
618,137,-1,None
619,137,0.5,None
620,137,0.5,None
621,137,0.5,None
622,137,0.5,None
623,138,0.5,None
624,138,0.5,None
625,138,-1,None
626,138,0.5,None
627,138,0.5,None
628,139,0.5,None
629,139,-1,None
630,139,0.5,None
631,139,-1,None
632,139,0.5,None
633,140,0.5,None
634,140,0.5,None
635,140,0.5,None
636,140,0.5,None
637,140,0.5,None
638,141,0.5,None
639,141,-1,None
640,141,0.5,None
641,141,-1,None
642,142,1,None
643,142,0.5,None
644,142,0.5,None
645,142,-1,None
646,142,0.5,None
647,143,-1,None
648,143,0.5,None
649,143,0.5,None
650,143,0.5,None
651,143,0.5,None
652,144,0.5,None
653,144,-1,None
654,144,-1,None
655,144,0.5,None
656,144,0.5,None
657,145,-1,None
658,145,0.5,None
659,145,0.5,None
660,146,1,None
661,146,0.5,None
662,146,0.5,None
663,146,0.5,None
664,146,0.5,None
665,147,-1,None
666,147,0.5,None
667,147,-1,None
668,147,0.5,None
669,147,-1,None
670,148,0.5,None
671,148,0.5,None
672,148,0.5,None
673,148,0.5,None
674,148,0.5,None
675,149,0.5,None
676,149,-1,None
677,149,-1,None
678,149,0.5,None
679,149,0.5,None
680,150,0.5,None
681,150,0.5,None
682,150,0.5,None
683,150,0.5,None
684,150,0.5,None
685,151,0.5,None
686,152,1,None
687,152,0.5,None
688,152,0.5,None
689,152,0.5,None
690,152,0.5,None
691,153,-1,None
692,153,-1,None
693,153,0.5,None
694,153,-1,None
695,153,0.5,None
696,154,0.5,None
697,154,-1,None
698,154,0.5,None
699,154,-1,None
700,154,0.5,None
701,155,0.5,None
702,155,0.5,None
703,155,0.5,None
704,155,0.5,None
705,155,0.5,None
706,156,-1,None
707,156,0.5,None
708,156,0.5,None
709,156,-1,None
710,156,0.5,None
711,157,0.5,None
712,157,-1,None
713,157,0.5,None
714,157,0.5,None
715,157,0.5,None
716,158,0.5,None
717,158,0.5,None
718,158,-1,None
719,158,0.5,None
720,158,0.5,None
721,159,0.5,None
722,159,0.5,None
723,159,0.5,None
724,159,0.5,None
725,159,0.5,None
726,160,0.5,None
727,160,0.5,None
728,160,0.5,None
729,160,0.5,None
730,160,0.5,None
731,161,-1,None
732,161,0.5,None
733,161,0.5,None
734,161,0.5,None
735,161,0.5,None
736,162,0.5,None
737,162,-1,None
738,162,0.5,None
739,163,1,None
740,163,0.5,None
741,163,0.5,None
742,163,-1,None
743,163,0.5,None
744,164,0.5,None
745,164,0.5,None
746,164,0.5,None
747,165,1,None
748,165,0.5,None
749,165,0.5,None
750,165,-1,None
751,165,0.5,None
752,166,0.5,None
753,166,-1,None
754,166,0.5,None
755,166,0.5,None
756,166,-1,None
757,167,0.5,None
758,167,0.5,None
759,167,0.5,None
760,167,0.5,None
761,167,-1,None
762,168,0.5,None
763,168,0.5,None
764,168,0.5,None
765,168,-1,None
