Timestep,Episode,Reward,Exploration
0,0,0.5,None
1,1,1,None
2,1,-1,None
3,1,0.5,None
4,1,0.5,None
5,1,-1,None
6,2,0.5,None
7,2,-1,None
8,2,0.5,None
9,2,-1,None
10,2,-1,None
11,3,-1,None
12,3,0.5,None
13,3,0.5,None
14,3,0.5,None
15,4,1,None
16,4,0.5,None
17,4,0.5,None
18,4,-1,None
19,4,-1,None
20,5,0.5,None
21,5,-1,None
22,6,1,None
23,6,0.5,None
24,6,0.5,None
25,6,0.5,None
26,6,0.5,None
27,7,0.5,None
28,7,0.5,None
29,7,0.5,None
30,7,0.5,None
31,7,0.5,None
32,8,0.5,None
33,8,0.5,None
34,8,-1,None
35,8,0.5,None
36,8,0.5,None
37,9,0.5,None
38,9,-1,None
39,9,-1,None
40,9,-1,None
41,9,-1,None
42,10,0.5,None
43,10,0.5,None
44,10,0.5,None
45,10,-1,None
46,10,0.5,None
47,11,-1,None
48,11,0.5,None
49,11,0.5,None
50,11,0.5,None
51,11,-1,None
52,12,-1,None
53,12,-1,None
54,12,0.5,None
55,12,-1,None
56,12,0.5,None
57,13,-1,None
58,13,0.5,None
59,13,0.5,None
60,13,-1,None
61,13,0.5,None
62,14,0.5,None
63,14,0.5,None
64,14,0.5,None
65,14,0.5,None
66,14,0.5,None
67,15,0.5,None
68,15,-1,None
69,15,0.5,None
70,15,0.5,None
71,15,-1,None
72,16,0.5,None
73,16,-1,None
74,16,0.5,None
75,16,0.5,None
76,16,0.5,None
77,17,0.5,None
78,17,-1,None
79,17,0.5,None
80,17,0.5,None
81,17,0.5,None
82,18,0.5,None
83,18,-1,None
84,18,-1,None
85,18,0.5,None
86,18,0.5,None
87,19,-1,None
88,19,-1,None
89,20,1,None
90,20,0.5,None
91,20,0.5,None
92,21,1,None
93,21,0.5,None
94,21,0.5,None
95,21,-1,None
96,21,0.5,None
97,22,0.5,None
98,22,-1,None
99,22,0.5,None
100,22,0.5,None
101,22,-1,None
102,23,-1,None
103,23,0.5,None
104,23,-1,None
105,23,0.5,None
106,23,0.5,None
107,24,1,None
108,24,0.5,None
109,24,0.5,None
110,24,0.5,None
111,24,0.5,None
112,25,0.5,None
113,25,0.5,None
114,25,0.5,None
115,25,-1,None
116,26,1,None
117,26,0.5,None
118,26,0.5,None
119,26,-1,None
120,26,0.5,None
121,27,0.5,None
122,27,0.5,None
123,27,0.5,None
124,27,0.5,None
125,27,0.5,None
126,28,-1,None
127,28,0.5,None
128,28,0.5,None
129,29,1,None
130,29,0.5,None
131,29,0.5,None
132,30,1,None
133,30,0.5,None
134,30,0.5,None
135,30,0.5,None
136,30,0.5,None
137,31,-1,None
138,31,0.5,None
139,31,0.5,None
140,31,0.5,None
141,31,0.5,None
142,32,-1,None
143,32,0.5,None
144,32,0.5,None
145,32,0.5,None
146,32,0.5,None
147,33,0.5,None
148,33,0.5,None
149,33,0.5,None
150,33,0.5,None
151,33,0.5,None
152,34,0.5,None
153,34,0.5,None
154,34,0.5,None
155,34,0.5,None
156,34,0.5,None
157,35,-1,None
158,35,0.5,None
159,35,0.5,None
160,35,-1,None
161,35,0.5,None
162,36,-1,None
163,37,1,None
164,37,0.5,None
165,37,0.5,None
166,37,-1,None
167,38,1,None
168,38,-1,None
169,39,1,None
170,39,-1,None
171,39,0.5,None
172,39,0.5,None
173,39,0.5,None
174,40,-1,None
175,40,-1,None
176,40,0.5,None
177,41,1,None
178,41,-1,None
179,42,1,None
180,42,-1,None
181,42,0.5,None
182,42,0.5,None
183,42,0.5,None
184,43,-1,None
185,43,-1,None
186,43,0.5,None
187,43,0.5,None
188,43,0.5,None
189,44,0.5,None
190,44,0.5,None
191,44,0.5,None
192,44,0.5,None
193,44,0.5,None
194,45,0.5,None
195,45,0.5,None
196,45,0.5,None
197,45,0.5,None
198,45,0.5,None
199,46,0.5,None
200,46,-1,None
201,46,0.5,None
202,46,0.5,None
203,46,0.5,None
204,47,0.5,None
205,48,1,None
206,48,0.5,None
207,48,0.5,None
208,48,-1,None
209,48,0.5,None
210,49,0.5,None
211,49,0.5,None
212,49,0.5,None
213,50,1,None
214,50,0.5,None
215,50,0.5,None
216,50,0.5,None
217,50,0.5,None
218,51,-1,None
219,51,0.5,None
220,51,0.5,None
221,51,0.5,None
222,51,0.5,None
223,52,0.5,None
224,52,-1,None
225,52,0.5,None
226,52,0.5,None
227,53,1,None
228,53,0.5,None
229,53,-1,None
230,54,1,None
231,54,0.5,None
232,54,-1,None
